CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;PRICE;TOWN;TOWN#;TRACT;LAT;LON
0,84054;0;8,14;0;0,538;5.599;85,7;44.546;4;307;21;303,42;16,51;13,9;Lynn;4;2063;42,284;-70,964
0,67191;0;8,14;0;0,538;5.813;90,3;4.682;4;307;21;376,88;14,81;16,6;Lynn;4;2064;42,287;-70,9597
0,95577;0;8,14;0;0,538;6.047;88,8;44.534;4;307;21;306,38;17,28;14,8;Lynn;4;2065;42,2825;-70,9597
0,77299;0;8,14;0;0,538;6.495;94,4;44.547;4;307;21;387,94;12,8;18,4;Lynn;4;2066;42,28;-70,957
100.245;0;8,14;0;0,538;6.674;87,3;4.239;4;307;21;380,23;11,98;21;Lynn;4;2067;42,278;-70,951
113.081;0;8,14;0;0,538;5.713;94,1;4.233;4;307;21;360,17;22,6;12,7;Lynn;4;2068;42,279;-70,967
135.472;0;8,14;0;0,538;6.072;100;4.175;4;307;21;376,73;13,04;14,5;Lynn;4;2069;42,2765;-70,964
138.799;0;8,14;0;0,538;5,95;82;3,99;4;307;21;232,6;27,71;13,2;Lynn;4;2070;42,2765;-70,972
115.172;0;8,14;0;0,538;5.701;95;37.872;4;307;21;358,77;18,35;13,1;Lynn;4;2071;42,276;-70,9795
161.282;0;8,14;0;0,538;6.096;96,9;37.598;4;307;21;248,31;20,34;13,5;Lynn;4;2072;42,272;-70,9775
0,06417;0;5,96;0;0,499;5.933;68,2;33.603;5;279;19,2;396,9;9,68;18,9;Sargus;5;2081;42,27;-71
0,09744;0;5,96;0;0,499;5.841;61,4;33.779;5;279;19,2;377,56;11,41;20;Sargus;5;2082;42,2745;-71,008
0,08014;0;5,96;0;0,499;5,85;41,5;39.342;5;279;19,2;396,9;8,77;21;Sargus;5;2083;42,2865;-71,004
0,17505;0;5,96;0;0,499;5.966;30,2;38.473;5;279;19,2;393,43;10,13;24,7;Sargus;5;2084;42,2875;-71,02
0,02763;75;2,95;0;0,428;6.595;21,8;54.011;3;252;18,3;395,63;4,32;30,8;Lynnfield;6;2091;42,313;-71,013
0,03359;75;2,95;0;0,428;7.024;15,8;54.011;3;252;18,3;395,62;1,98;34,9;Lynnfield;6;2092;42,324;-71,03
0,12744;0;6,91;0;0,448;6,77;2,9;57.209;3;233;17,9;385,41;4,84;26,6;Peabody;7;2101;42,335;-71,004
0,1415;0;6,91;0;0,448;6.169;6,6;57.209;3;233;17,9;383,37;5,81;25,3;Peabody;7;2102;42,3235;-71,003
0,15936;0;6,91;0;0,448;6.211;6,5;57.209;3;233;17,9;394,46;7,44;24,7;Peabody;7;2103;42,3237;-70,9775
0,12269;0;6,91;0;0,448;6.069;40;57.209;3;233;17,9;389,39;9,55;21,2;Peabody;7;2104;42,317;-70,9675
0,17142;0;6,91;0;0,448;5.682;33,8;51.004;3;233;17,9;396,9;10,21;19,3;Peabody;7;2105;42,3075;-70,9725
0,18836;0;6,91;0;0,448;5.786;33,3;51.004;3;233;17,9;396,9;14,15;20;Peabody;7;2106;42,3075;-70,965
0,22927;0;6,91;0;0,448;6,03;85,5;56.894;3;233;17,9;392,74;18,8;16,6;Peabody;7;2107;42,3125;-70,956
0,25387;0;6,91;0;0,448;5.399;95,3;5,87;3;233;17,9;396,9;30,81;14,4;Peabody;7;2108;42,3165;-70,955
0,21977;0;6,91;0;0,448;5.602;62;60.877;3;233;17,9;396,9;16,2;19,4;Peabody;7;2109;42,3208;-70,9525
0,08873;21;5,64;0;0,439;5.963;45,7;68.147;4;243;16,8;395,56;13,45;19,7;Danvers;8;2111;42,334;-70,951
0,04337;21;5,64;0;0,439;6.115;63;68.147;4;243;16,8;393,97;9,43;20,5;Danvers;8;2112;42,3382;-70,963
0,0536;21;5,64;0;0,439;6.511;21,1;68.147;4;243;16,8;396,9;5,28;25;Danvers;8;2113;42,346;-70,958
0,04981;21;5,64;0;0,439;5.998;21,4;68.147;4;243;16,8;396,9;8,43;23,4;Danvers;8;2114;42,3425;-70,978
0,0136;75;4;0;0,41;5.888;47,6;73.197;3;469;21,1;396,9;14,8;18,9;Middleton;9;2121;42,3715;-71,0175
0,01311;90;1,22;0;0,403;7.249;21,9;86.966;5;226;17,9;395,93;4,81;35,4;Topsfield;10;2141;42,381;-70,9625
0,02055;85;0,74;0;0,41;6.383;35,7;91.876;2;313;17,3;396,9;5,77;24,7;Hamilton;11;2151;42,374;-70,93
0,01432;100;1,32;0;0,411;6.816;40,5;83.248;5;256;15,1;392,9;3,95;31,6;Wenham;12;2161;42,3715;-70,9295
0,15445;25;5,13;0;0,453;6.145;29,2;78.148;8;284;19,7;390,68;6,86;23,3;Beverly;13;2171;42,346;-70,9385
0,10328;25;5,13;0;0,453;5.927;47,2;6.932;8;284;19,7;396,9;9,22;19,6;Beverly;13;2172;42,332;-70,94
0,14932;25;5,13;0;0,453;5.741;66,2;72.254;8;284;19,7;395,11;13,15;18,7;Beverly;13;2173;42,337;-70,93
0,17171;25;5,13;0;0,453;5.966;93,4;68.185;8;284;19,7;378,08;14,44;16;Beverly;13;2174;42,3275;-70,93
0,11027;25;5,13;0;0,453;6.456;67,8;72.255;8;284;19,7;396,9;6,73;22,2;Beverly;13;2175;42,332;-70,9215
0,1265;25;5,13;0;0,453;6.762;43,4;79.809;8;284;19,7;395,58;9,5;25;Beverly;13;2176;42,339;-70,9075
0,01951;17,5;1,38;0;0,4161;7.104;59,5;92.229;3;216;18,6;393,24;8,05;33;Manchester;14;2181;42,345;-70,86
0,03584;80;3,37;0;0,398;6,29;17,8;66.115;4;337;16,1;396,9;4,67;23,5;North Reading;15;3301;42,345;-71,045
0,04379;80;3,37;0;0,398;5.787;31,1;66.115;4;337;16,1;396,9;10,24;19,4;North Reading;15;3302;42,3525;-71,069
0,05789;12,5;6,07;0;0,409;5.878;21,4;6.498;4;345;18,9;396,21;8,1;22;Wilmington;16;3311;42,3362;-71,09
0,13554;12,5;6,07;0;0,409;5.594;36,8;6.498;4;345;18,9;396,9;13,09;17,4;Wilmington;16;3312;42,34;-71,108
0,12816;12,5;6,07;0;0,409;5.885;33;6.498;4;345;18,9;396,9;8,79;20,9;Wilmington;16;3313;42,327;-71,111
0,08826;0;10,81;0;0,413;6.417;6,6;52.873;4;305;19,2;383,73;6,72;24,2;Burlington;17;3321;42,316;-71,121
0,15876;0;10,81;0;0,413;5.961;17,5;52.873;4;305;19,2;376,94;9,88;21,7;Burlington;17;3322;42,3008;-71,1095
0,09164;0;10,81;0;0,413;6.065;7,8;52.873;4;305;19,2;390,91;5,52;22,8;Burlington;17;3323;42,305;-71,13
0,19539;0;10,81;0;0,413;6.245;6,2;52.873;4;305;19,2;377,17;7,54;23,4;Burlington;17;3324;42,292;-71,123
0,07896;0;12,83;0;0,437;6.273;6;42.515;5;398;18,7;394,92;6,78;24,1;Woburn;18;3331;42,289;-71,1105
0,09512;0;12,83;0;0,437;6.286;45;45.026;5;398;18,7;383,23;8,94;21,4;Woburn;18;3332;42,2875;-71,1
0,10153;0;12,83;0;0,437;6.279;74,5;40.522;5;398;18,7;373,66;11,97;20;Woburn;18;3333;42,2835;-71,09
0,08707;0;12,83;0;0,437;6,14;45,8;40.905;5;398;18,7;386,96;10,27;20,8;Woburn;18;3334;42,2895;-71,076
0,05646;0;12,83;0;0,437;6.232;53,7;50.141;5;398;18,7;386,4;12,34;21,2;Woburn;18;3335;42,295;-71,0905
0,08387;0;12,83;0;0,437;5.874;36,6;45.026;5;398;18,7;396,06;9,1;20,3;Woburn;18;3336;42,305;-71,091
0,04113;25;4,86;0;0,426;6.727;33,5;54.007;4;281;19;396,9;5,29;28;Reading;19;3341;42,308;-71,0685
0,04462;25;4,86;0;0,426;6.619;70,4;54.007;4;281;19;395,63;7,22;23,9;Reading;19;3342;42,315;-71,069
0,03659;25;4,86;0;0,426;6.302;32,2;54.007;4;281;19;396,9;6,72;24,8;Reading;19;3343;42,326;-71,0675
0,03551;25;4,86;0;0,426;6.167;46,7;54.007;4;281;19;390,64;7,51;22,9;Reading;19;3344;42,317;-71,0575
0,05059;0;4,49;0;0,449;6.389;48;47.794;3;247;18,5;396,9;9,62;23,9;Wakefield;20;3351;42,3075;-71,043
0,05735;0;4,49;0;0,449;6,63;56,1;44.377;3;247;18,5;392,3;6,53;26,6;Wakefield;20;3352;42,3;-71,05
0,05188;0;4,49;0;0,449;6.015;45,1;44.272;3;247;18,5;395,99;12,86;22,5;Wakefield;20;3353;42,305;-71,033
0,07151;0;4,49;0;0,449;6.121;56,8;37.476;3;247;18,5;395,15;8,44;22,2;Wakefield;20;3354;42,2885;-71,039
0,0566;0;3,41;0;0,489;7.007;86,3;34.217;2;270;17,8;396,9;5,5;23,6;Melrose;21;3361;42,2796;-71,042
0,05302;0;3,41;0;0,489;7.079;63,1;34.145;2;270;17,8;396,06;5,7;28,7;Melrose;21;3362;42,2785;-71,0345
0,04684;0;3,41;0;0,489;6.417;66,1;30.923;2;270;17,8;392,18;8,81;22,6;Melrose;21;3363;42,272;-71,03
0,03932;0;3,41;0;0,489;6.405;73,9;30.921;2;270;17,8;393,55;8,2;22;Melrose;21;3364;42,2715;-71,0425
0,04203;28;15,04;0;0,464;6.442;53,6;36.659;4;270;18,2;395,01;8,16;22,9;Stoneham;22;3371;42,283;-71,053
0,02875;28;15,04;0;0,464;6.211;28,9;36.659;4;270;18,2;396,33;6,21;25;Stoneham;22;3372;42,296;-71,062
0,04294;28;15,04;0;0,464;6.249;77,3;3.615;4;270;18,2;396,9;10,59;20,6;Stoneham;22;3373;42,284;-71,0615
0,12204;0;2,89;0;0,445;6.625;57,8;34.952;2;276;18;357,98;6,65;28,4;Winchester;23;3381;42,2775;-71,076
0,11504;0;2,89;0;0,445;6.163;69,6;34.952;2;276;18;391,83;11,34;21,4;Winchester;23;3382;42,2775;-71,085
0,12083;0;2,89;0;0,445;8.069;76;34.952;2;276;18;396,9;4,21;38,7;Winchester;23;3383;42,2715;-71,089
0,08187;0;2,89;0;0,445;7,82;36,9;34.952;2;276;18;393,53;3,57;43,8;Winchester;23;3384;42,2685;-71,0982
0,0686;0;2,89;0;0,445;7.416;62,5;34.952;2;276;18;396,9;6,19;33,2;Winchester;23;3385;42,268;-71,08
0,14866;0;8,56;0;0,52;6.727;79,9;27.778;5;384;20,9;394,76;9,42;27,5;Medford;24;3391;42,2545;-71,0668
0,11432;0;8,56;0;0,52;6.781;71,3;28.561;5;384;20,9;395,58;7,67;26,5;Medford;24;3392;42,245;-71,081
0,22876;0;8,56;0;0,52;6.405;85,4;27.147;5;384;20,9;70,8;10,63;18,6;Medford;24;3393;42,2515;-71,0812
0,21161;0;8,56;0;0,52;6.137;87,4;27.147;5;384;20,9;394,47;13,44;19,3;Medford;24;3394;42,249;-71,077
0,1396;0;8,56;0;0,52;6.167;90;2.421;5;384;20,9;392,69;12,33;20,1;Medford;24;3395;42,248;-71,069
0,13262;0;8,56;0;0,52;5.851;96,7;21.069;5;384;20,9;394,05;16,47;19,5;Medford;24;3396;42,2425;-71,0662
0,1712;0;8,56;0;0,52;5.836;91,9;2.211;5;384;20,9;395,67;18,66;19,5;Medford;24;3397;42,2431;-71,0622
0,13117;0;8,56;0;0,52;6.127;85,2;21.224;5;384;20,9;387,69;14,09;20,4;Medford;24;3398;42,2465;-71,0553
0,12802;0;8,56;0;0,52;6.474;97,1;24.329;5;384;20,9;395,24;12,27;19,8;Medford;24;3399;42,2505;-71,055
0,26363;0;8,56;0;0,52;6.229;91,2;25.451;5;384;20,9;391,23;15,55;19,4;Medford;24;3400;42,254;-71,06
0,10793;0;8,56;0;0,52;6.195;54,4;27.778;5;384;20,9;393,49;13;21,7;Medford;24;3401;42,2605;-71,056
0,10084;0;10,01;0;0,547;6.715;81,6;26.775;6;432;17,8;395,59;10,16;22,8;Malden;25;3411;42,261;-71,0475
0,12329;0;10,01;0;0,547;5.913;92,9;23.534;6;432;17,8;394,95;16,21;18,8;Malden;25;3412;42,253;-71,049
0,22212;0;10,01;0;0,547;6.092;95,4;2.548;6;432;17,8;396,9;17,09;18,7;Malden;25;3413;42,258;-71,0428
0,14231;0;10,01;0;0,547;6.254;84,2;22.565;6;432;17,8;388,74;10,45;18,5;Malden;25;3414;42,2512;-71,0396
0,17134;0;10,01;0;0,547;5.928;88,2;24.631;6;432;17,8;344,91;15,76;18,3;Malden;25;3415;42,2545;-71,0355
0,13158;0;10,01;0;0,547;6.176;72,5;27.301;6;432;17,8;393,3;12,04;21,2;Malden;25;3416;42,2608;-71,036
0,15098;0;10,01;0;0,547;6.021;82,6;27.474;6;432;17,8;394,51;10,3;19,2;Malden;25;3417;42,262;-71,0285
0,13058;0;10,01;0;0,547;5.872;73,1;24.775;6;432;17,8;338,63;15,37;20,4;Malden;25;3418;42,258;-71,0285
0,14476;0;10,01;0;0,547;5.731;65,2;27.592;6;432;17,8;391,5;13,61;19,3;Malden;25;3419;42,2605;-71,019
0,06899;0;25,65;0;0,581;5,87;69,7;22.577;2;188;19,1;389,15;14,37;22;Everett;26;3421;42,2483;-71,0243
0,07165;0;25,65;0;0,581;6.004;84,1;21.974;2;188;19,1;377,67;14,27;20,3;Everett;26;3422;42,2505;-71,0312
0,09299;0;25,65;0;0,581;5.961;92,9;20.869;2;188;19,1;378,09;17,93;20,5;Everett;26;3423;42,247;-71,0377
0,15038;0;25,65;0;0,581;5.856;97;19.444;2;188;19,1;370,31;25,41;17,3;Everett;26;3424;42,2435;-71,037
0,09849;0;25,65;0;0,581;5.879;95,8;20.063;2;188;19,1;379,38;17,58;18,8;Everett;26;3425;42,245;-71,0308
0,16902;0;25,65;0;0,581;5.986;88,4;19.929;2;188;19,1;385,02;14,81;21,4;Everett;26;3426;42,2431;-71,0262
0,38735;0;25,65;0;0,581;5.613;95,6;17.572;2;188;19,1;359,29;27,26;15,7;Everett;26;3427;42,2395;-71,0333
0,25915;0;21,89;0;0,624;5.693;96;17.883;4;437;21,2;392,11;17,19;16,2;Somerville;27;3501;42,2355;-71,053
0,32543;0;21,89;0;0,624;6.431;98,8;18.125;4;437;21,2;396,9;15,39;18;Somerville;27;3502;42,235;-71,058
0,88125;0;21,89;0;0,624;5.637;94,7;19.799;4;437;21,2;396,9;18,34;14,3;Somerville;27;3503;42,2368;-71,0638
0,34006;0;21,89;0;0,624;6.458;98,9;21.185;4;437;21,2;395,04;12,6;19,2;Somerville;27;3504;42,239;-71,0692
119.294;0;21,89;0;0,624;6.326;97,7;2.271;4;437;21,2;396,9;12,26;19,6;Somerville;27;3505;42,24;-71,075
0,59005;0;21,89;0;0,624;6.372;97,9;23.274;4;437;21,2;385,76;11,12;23;Somerville;27;3506;42,2405;-71,0745
0,32982;0;21,89;0;0,624;5.822;95,4;24.699;4;437;21,2;388,69;15,03;18,4;Somerville;27;3507;42,245;-71,079
0,97617;0;21,89;0;0,624;5.757;98,4;2.346;4;437;21,2;262,76;17,31;15,6;Somerville;27;3508;42,2405;-71,076
0,55778;0;21,89;0;0,624;6.335;98,2;21.107;4;437;21,2;394,67;16,96;18,1;Somerville;27;3509;42,2362;-71,075
0,32264;0;21,89;0;0,624;5.942;93,5;19.669;4;437;21,2;378,25;16,9;17,4;Somerville;27;3510;42,2335;-71,0677
0,35233;0;21,89;0;0,624;6.454;98,4;18.498;4;437;21,2;394,08;14,59;17,1;Somerville;27;3511;42,2325;-71,063
0,2498;0;21,89;0;0,624;5.857;98,2;16.686;4;437;21,2;392,04;21,32;13,3;Somerville;27;3512;42,2275;-71,062
0,54452;0;21,89;0;0,624;6.151;97,9;16.687;4;437;21,2;396,9;18,46;17,8;Somerville;27;3513;42,23;-71,0568
0,2909;0;21,89;0;0,624;6.174;93,6;16.119;4;437;21,2;388,08;24,16;14;Somerville;27;3514;42,2312;-71,0518
162.864;0;21,89;0;0,624;5.019;100;14.394;4;437;21,2;396,9;34,41;14,4;Somerville;27;3515;42,2265;-71,0543
332.105;0;19,58;1;0,871;5.403;100;13.216;5;403;14,7;396,9;26,82;13,4;Cambridge;28;3521;42,2222;-71,048
40.974;0;19,58;0;0,871;5.468;100;14.118;5;403;14,7;396,9;26,42;15,6;Cambridge;28;3522;42,223;-71,0519
277.974;0;19,58;0;0,871;4.903;97,8;13.459;5;403;14,7;396,9;29,29;11,8;Cambridge;28;3523;42,2205;-71,051
237.934;0;19,58;0;0,871;6,13;100;14.191;5;403;14,7;172,91;27,8;13,8;Cambridge;28;3524;42,219;-71,054
215.505;0;19,58;0;0,871;5.628;100;15.166;5;403;14,7;169,27;16,65;15,6;Cambridge;28;3525;42,221;-71,059
236.862;0;19,58;0;0,871;4.926;95,7;14.608;5;403;14,7;391,71;29,53;14,6;Cambridge;28;3526;42,2222;-71,0555
233.099;0;19,58;0;0,871;5.186;93,8;15.296;5;403;14,7;356,99;28,32;17,8;Cambridge;28;3527;42,224;-71,0567
273.397;0;19,58;0;0,871;5.597;94,9;15.257;5;403;14,7;351,85;21,45;15,4;Cambridge;28;3528;42,223;-71,058
16.566;0;19,58;0;0,871;6.122;97,3;1.618;5;403;14,7;372,8;14,1;21,5;Cambridge;28;3529;42,2236;-71,062
149.632;0;19,58;0;0,871;5.404;100;15.916;5;403;14,7;341,6;13,28;19,6;Cambridge;28;3530;42,2205;-71,0622
112.658;0;19,58;1;0,871;5.012;88;16.102;5;403;14,7;343,28;12,12;15,3;Cambridge;28;3531;42,217;-71,059
214.918;0;19,58;0;0,871;5.709;98,5;16.232;5;403;14,7;261,95;15,79;19,4;Cambridge;28;3532;42,215;-71,0645
141.385;0;19,58;1;0,871;6.129;96;17.494;5;403;14,7;321,02;15,12;17;Cambridge;28;3533;42,2162;-71,0662
353.501;0;19,58;1;0,871;6.152;82,6;17.455;5;403;14,7;88,01;15,02;15,6;Cambridge;28;3534;42,215;-71,068
244.668;0;19,58;0;0,871;5.272;94;17.364;5;403;14,7;88,63;16,14;13,1;Cambridge;28;3535;42,22;-71,0667
122.358;0;19,58;0;0,605;6.943;97,4;18.773;5;403;14,7;363,43;4,59;41,3;Cambridge;28;3536;42,2285;-71,069
134.284;0;19,58;0;0,605;6.066;100;17.573;5;403;14,7;353,89;6,43;24,3;Cambridge;28;3537;42,2245;-71,067
142.502;0;19,58;0;0,871;6,51;100;17.659;5;403;14,7;364,31;7,39;23,3;Cambridge;28;3538;42,2223;-71,065
127.346;0;19,58;1;0,605;6,25;92,6;17.984;5;403;14,7;338,92;5,5;27;Cambridge;28;3539;42,2214;-71,07
146.336;0;19,58;0;0,605;7.489;90,8;19.709;5;403;14,7;374,43;1,73;50;Cambridge;28;3540;42,2282;-71,0735
183.377;0;19,58;1;0,605;7.802;98,2;20.407;5;403;14,7;389,61;1,92;50;Cambridge;28;3541;42,225;-71,077
151.902;0;19,58;1;0,605;8.375;93,9;2.162;5;403;14,7;388,45;3,32;50;Cambridge;28;3542;42,225;-71,0815
224.236;0;19,58;0;0,605;5.854;91,8;2.422;5;403;14,7;395,11;11,64;22,7;Cambridge;28;3543;42,2265;-71,0918
2.924;0;19,58;0;0,605;6.101;93;22.834;5;403;14,7;240,16;9,81;25;Cambridge;28;3544;42,2295;-71,082
201.019;0;19,58;0;0,605;7.929;96,2;20.459;5;403;14,7;369,3;3,7;50;Cambridge;28;3545;42,2305;-71,077
180.028;0;19,58;0;0,605;5.877;79,2;24.259;5;403;14,7;227,61;12,14;23,8;Cambridge;28;3546;42,2345;-71,0866
23.004;0;19,58;0;0,605;6.319;96,1;2,1;5;403;14,7;297,09;11,1;23,8;Cambridge;28;3547;42,2331;-71,074
244.953;0;19,58;0;0,605;6.402;95,2;22.625;5;403;14,7;330,04;11,32;22,3;Cambridge;28;3548;42,2351;-71,0775
120.742;0;19,58;0;0,605;5.875;94,6;24.259;5;403;14,7;292,29;14,43;17,4;Cambridge;28;3549;42,2368;-71,081
23.139;0;19,58;0;0,605;5,88;97,3;23.887;5;403;14,7;348,13;12,03;19,1;Cambridge;28;3550;42,239;-71,0792
0,13914;0;4,05;0;0,51;5.572;88,5;25.961;5;296;16,6;396,9;14,69;23,1;Arlington;29;3561;42,2416;-71,087
0,09178;0;4,05;0;0,51;6.416;84,1;26.463;5;296;16,6;395,5;9,04;23,6;Arlington;29;3562;42,245;-71,0855
0,08447;0;4,05;0;0,51;5.859;68,7;27.019;5;296;16,6;393,23;9,64;22,6;Arlington;29;3563;42,2475;-71,0833
0,06664;0;4,05;0;0,51;6.546;33,1;31.323;5;296;16,6;390,96;5,33;29,4;Arlington;29;3564;42,2575;-71,094
0,07022;0;4,05;0;0,51;6,02;47,2;35.549;5;296;16,6;393,23;10,11;23,2;Arlington;29;3565;42,255;-71,1125
0,05425;0;4,05;0;0,51;6.315;73,4;33.175;5;296;16,6;395,6;6,29;24,6;Arlington;29;3566;42,2512;-71,106
0,06642;0;4,05;0;0,51;6,86;74,4;29.153;5;296;16,6;391,27;6,92;29,9;Arlington;29;3567;42,247;-71,0965
0,0578;0;2,46;0;0,488;6,98;58,4;2.829;3;193;17,8;396,9;5,04;37,2;Belmont;30;3571;42,2408;-71,1
0,06588;0;2,46;0;0,488;7.765;83,3;2.741;3;193;17,8;395,56;7,56;39,8;Belmont;30;3572;42,2345;-71,0995
0,06888;0;2,46;0;0,488;6.144;62,2;25.979;3;193;17,8;396,9;9,45;36,2;Belmont;30;3573;42,2282;-71,0966
0,09103;0;2,46;0;0,488;7.155;92,2;27.006;3;193;17,8;394,12;4,82;37,9;Belmont;30;3574;42,2287;-71,1005
0,10008;0;2,46;0;0,488;6.563;95,6;2.847;3;193;17,8;396,9;5,68;32,5;Belmont;30;3575;42,23;-71,1065
0,08308;0;2,46;0;0,488;5.604;89,8;29.879;3;193;17,8;391;13,98;26,4;Belmont;30;3576;42,23;-71,112
0,06047;0;2,46;0;0,488;6.153;68,8;32.797;3;193;17,8;387,11;13,15;29,6;Belmont;30;3577;42,235;-71,1175
0,05602;0;2,46;0;0,488;7.831;53,6;31.992;3;193;17,8;392,63;4,45;50;Belmont;30;3578;42,2442;-71,1115
0,07875;45;3,44;0;0,437;6.782;41,1;37.886;5;398;15,2;393,87;6,68;32;Lexington;31;3581;42,2565;-71,122
0,12579;45;3,44;0;0,437;6.556;29,1;45.667;5;398;15,2;382,84;4,56;29,8;Lexington;31;3583;42,255;-71,1408
0,0837;45;3,44;0;0,437;7.185;38,9;45.667;5;398;15,2;396,9;5,39;34,9;Lexington;31;3584;42,2651;-71,145
0,09068;45;3,44;0;0,437;6.951;21,5;64.798;5;398;15,2;377,68;5,1;37;Lexington;31;3585;42,27;-71,1216
0,06911;45;3,44;0;0,437;6.739;30,8;64.798;5;398;15,2;389,71;4,69;30,5;Lexington;31;3586;42,2765;-71,1485
0,08664;45;3,44;0;0,437;7.178;26,3;64.798;5;398;15,2;390,49;2,87;36,4;Lexington;31;3587;42,2785;-71,134
0,02187;60;2,93;0;0,401;6,8;9,9;62.196;1;265;15,6;393,37;5,03;31,1;Bedford;32;3591;42,3;-71,1525
0,01439;60;2,93;0;0,401;6.604;18,8;62.196;1;265;15,6;376,7;4,38;29,1;Bedford;32;3592;42,303;-71,1633
0,01381;80;0,46;0;0,422;7.875;32;56.484;4;255;14,4;394,23;2,97;50;Lincoln;33;3602;42,2525;-71,189
0,04011;80;1,52;0;0,404;7.287;34,1;7.309;2;329;12,6;396,9;4,08;33,3;Concord;34;3611;42,2715;-71,22
0,04666;80;1,52;0;0,404;7.107;36,6;7.309;2;329;12,6;354,31;8,61;30,3;Concord;34;3612;42,2725;-71,24
0,03768;80;1,52;0;0,404;7.274;38,3;7.309;2;329;12,6;392,2;6,62;34,6;Concord;34;3613;42,289;-71,222
0,0315;95;1,47;0;0,403;6.975;15,3;76.534;3;402;17;396,9;4,56;34,9;Sudbury;35;3651;42,2425;-71,244
0,01778;95;1,47;0;0,403;7.135;13,9;76.534;3;402;17;384,3;4,45;32,9;Sudbury;35;3652;42,2225;-71,263
0,03445;82,5;2,03;0;0,415;6.162;38,4;6,27;2;348;14,7;393,77;7,43;24,1;Wayland;36;3661;42,1955;-71,2185
0,02177;82,5;2,03;0;0,415;7,61;15,7;6,27;2;348;14,7;395,38;3,11;42,3;Wayland;36;3662;42,218;-71,214
